,address,driving_time,public_trans_time,public_trans_option
639,"Nitsa Boulevard  8,Netanya",typically 50 min - 1 hr 40 min,49 min,650
640,HaZohar St. Netanya,typically 40 min - 1 hr 15 min,54 min,600
641,"Archi Sherman St.  3,Netanya",typically 40 min - 1 hr 15 min,50 min,611
642,"Kehilat Tsefat St.  1,Netanya",typically 35 min - 1 hr 15 min,47 min,600
643,"Nitsa Boulevard  20,Netanya",typically 50 min - 1 hr 40 min,46 min,650
644,"Pierre Koenig St.  7,Netanya",typically 40 min - 1 hr 15 min,53 min,600
645,Shlomo ha-Melekh St. Netanya,typically 45 min - 1 hr 40 min,48 min,650
646,"HaDalyot St.  10,Netanya",typically 35 min - 1 hr 10 min,45 min,600
647,"Aviv St.  5,Caesarea",typically 1 hr 5 min - 2 hr 10 min,NA,NA
648,"Nitsa Boulevard  20,Netanya",typically 50 min - 1 hr 40 min,46 min,650
649,"Bnei Binyamin St.  17,Netanya",typically 35 min - 1 hr 15 min,46 min,600
650,"Pierre Koenig St.  7,Netanya",typically 40 min - 1 hr 15 min,53 min,600
651,"Nitsa Boulevard  16,Netanya",typically 50 min - 1 hr 40 min,46 min,650
652,"Shlomo ha-Melekh St.  4,Herzliya",typically 24 - 50 min,31 min,606
653,"HaTehila St.  26,Netanya",typically 40 min - 1 hr 15 min,50 min,600
654,"Ehud Manor St.  18,Netanya",typically 35 min - 1 hr 10 min,51 min,600
655,"Ha-Gila St.  5,Netanya",typically 40 min - 1 hr 15 min,53 min,600
656,"Bnei Binyamin St.  7,Netanya",typically 35 min - 1 hr 15 min,47 min,600
657,"Bnei Binyamin St.  41,Netanya",typically 40 min - 1 hr 15 min,47 min,600
658,"Nitsa Boulevard  26,Netanya",typically 50 min - 1 hr 40 min,46 min,650
659,"Pierre Koenig St.  11,Netanya",typically 40 min - 1 hr 15 min,52 min,600
660,"Ha-Gila St.  5,Netanya",typically 45 min - 1 hr 40 min,42 min,650
661,"Nitsa Boulevard  16,Netanya",typically 50 min - 1 hr 40 min,46 min,650
662,"Sderot Oved Ben Ami  21,Netanya",typically 40 min - 1 hr 15 min,54 min,32א    בנימינה-בנימינה גבעת עדה<->לוד-לוד
663,Bialik St. Petah Tikva,typically 24 min - 1 hr 5 min,39 min,364
664,HaNeviim St. Petah Tikva,typically 24 min - 1 hr 5 min,41 min,473
665,Yosef Aharonovich St. Petah Tikva,typically 35 min - 1 hr 15 min,45 min,249    1
666,HaNeviim St. Petah Tikva,typically 24 min - 1 hr 5 min,41 min,473
667,Mivtsa Dekel St. Petah Tikva,typically 28 min - 1 hr 15 min,35 min,51
668,Rothschild St. Petah Tikva,typically 24 min - 1 hr 5 min,NA,NA
669,HaRav Uziel St. Petah Tikva,typically 35 min - 1 hr 10 min,NA,NA
670,Balfour St. Petah Tikva,typically 24 min - 1 hr 5 min,NA,NA
671,Balfour St. Petah Tikva,typically 24 min - 1 hr 5 min,NA,NA
672,Zeev Orlov St. Petah Tikva,typically 28 min - 1 hr 15 min,38 min,1
673,Balfour St. Petah Tikva,typically 24 min - 1 hr 5 min,NA,NA
674,Rothschild St. Petah Tikva,typically 24 min - 1 hr 5 min,NA,NA
675,Balfour St. Petah Tikva,typically 24 min - 1 hr 5 min,NA,NA
676,Nahalat Tsvi St. Petah Tikva,typically 35 min - 1 hr 15 min,45 min,486        הרצליה-הרצליה<->אשדוד עד הלום-אשדוד
677,Nahalat Tsvi St. Petah Tikva,typically 35 min - 1 hr 15 min,45 min,486        הרצליה-הרצליה<->אשדוד עד הלום-אשדוד
678,Rothschild St. Petah Tikva,typically 24 min - 1 hr 5 min,NA,NA
679,Kam St. Tel Aviv-Yafo,typically 20 - 45 min,28 min,80    בנימינה-בנימינה גבעת עדה<->לוד-לוד
680,Aba Akhimeir St. Tel Aviv-Yafo,typically 16 - 40 min,23 min,171
681,Yehuda Burla St. Tel Aviv-Yafo,typically 14 - 35 min,20 min,611
682,"Uziel St.  114,Ramat Gan",typically 10 - 30 min,27 min,364
683,"Simtat Yiftach  8,Ramat Gan",typically 10 - 30 min,27 min,364
684,"Yitshak Sadeh St.  14,Netanya",typically 45 min - 1 hr 40 min,47 min,650
685,"HaToren St.  14,Yavne",typically 35 min - 1 hr 20 min,NA,NA
686,Ha-Shvatim St. Bat Yam,typically 24 min - 1 hr 5 min,35 min,240
687,"Yohanan HaSandlar St.  2,Bat Yam",typically 22 min - 1 hr,47 min,1
688,Balfour St. Bat Yam,typically 22 - 55 min,1 hr 9 min,705
689,Avishai St. Beer Sheva,typically 1 hr 25 min - 2 hr 20 min,1 hr 39 min,25        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
690,Ha-Rav Simkha Asaf St. Beer Sheva,typically 1 hr 25 min - 2 hr 10 min,1 hr 17 min,באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
691,Ein Gedi St. Beer Sheva,typically 1 hr 25 min - 2 hr 20 min,NA,NA
692,Menahem Dunkelblum St. Beer Sheva,typically 1 hr 25 min - 2 hr 10 min,1 hr 44 min,12א        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
693,Rahvat Mivtsa Kedem Beersheba,typically 1 hr 25 min - 2 hr 10 min,1 hr 34 min,25        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
694,Refael Klatchkin St. Beer Sheva,typically 1 hr 25 min - 2 hr 10 min,1 hr 41 min,11        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
695,Max Brod St. Beer Sheva,typically 1 hr 25 min - 2 hr 20 min,1 hr 40 min,11        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
696,Refael Klatchkin St. Beer Sheva,typically 1 hr 25 min - 2 hr 10 min,1 hr 41 min,11        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
697,"Abarbanel St.  14,Beer Sheva",typically 1 hr 25 min - 2 hr 20 min,1 hr 40 min,16        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
698,Hahida St. Beer Sheva,typically 1 hr 25 min - 2 hr 20 min,1 hr 42 min,25        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
699,Yosef Ben Matityahu St. Beer Sheva,typically 1 hr 20 min - 2 hr 10 min,1 hr 20 min,באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
700,Basel St. Beer Sheva,typically 1 hr 25 min - 2 hr 20 min,1 hr 32 min,16        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
701,Adler St. Beer Sheva,typically 1 hr 25 min - 2 hr 10 min,1 hr 40 min,11        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
702,Reuven Rubin St. Be'er Sheva,typically 1 hr 25 min - 2 hr 20 min,1 hr 27 min,5    באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
703,Mivtsa Uvda St. Beer Sheva,typically 1 hr 25 min - 2 hr 20 min,1 hr 36 min,11        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
704,Moshe Dayan St. Beer Sheva,typically 1 hr 25 min - 2 hr 10 min,1 hr 40 min,11        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
705,Ha-Talmud St. Beer Sheva,typically 1 hr 20 min - 2 hr 10 min,1 hr 33 min,25        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
706,Derech Metsada Beersheba,typically 1 hr 25 min - 2 hr 20 min,1 hr 37 min,12א        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
707,Ha-Melakhim St. Beer Sheva,typically 1 hr 25 min - 2 hr 20 min,1 hr 39 min,11        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
708,"Benjamin Minz St.  28,Be'er Sheva",typically 1 hr 25 min - 2 hr 20 min,1 hr 34 min,11        באר שבע מרכז-באר שבע<->כרמיאל-כרמיאל
709,"Pushkin St.  16,Tel Aviv-Yafo",typically 20 - 45 min,31 min,46
710,"Huna St.  20,Tel Aviv-Yafo",typically 10 - 22 min,22 min,7
711,"Yitshak Sadeh St.  4,Bat Yam",typically 24 min - 1 hr,45 min,1
712,Sheshet ha-Yamim St. Bat Yam,typically 22 - 55 min,30 min,240
713,Argov St. Holon,typically 20 - 55 min,31 min,71
714,Balfour St. Bat Yam,typically 22 - 55 min,1 hr 9 min,705
715,Sapir St. Ramla,typically 35 min - 1 hr 15 min,51 min,450
716,Topaz St. Beer Yaakov,typically 35 min - 1 hr 20 min,37 min,159
717,Sapir St. Beer Yaakov,typically 40 min - 1 hr 30 min,1 hr 5 min,9    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
718,Sa Nes St. Beer Yaakov,typically 35 min - 1 hr 15 min,40 min,157    240
719,Ha-Brosh St. Beer Yaakov,typically 35 min - 1 hr 15 min,44 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
720,Leah Goldberg St. Beer Yaakov,typically 35 min - 1 hr 10 min,49 min,157    240
721,HaBanim St. Beer Yaakov,typically 35 min - 1 hr 15 min,1 hr 1 min,450
722,Efrayim Kishon St. Beer Yaakov,typically 35 min - 1 hr 10 min,47 min,157    240
723,Odem St. Beer Yaakov,typically 35 min - 1 hr 20 min,47 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
724,Leah Goldberg St. Beer Yaakov,typically 35 min - 1 hr 10 min,49 min,157    240
725,Simtat HaAnkor Beer Yaakov,typically 35 min - 1 hr 25 min,45 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
726,Moshe Dayan St. Ramla,typically 35 min - 1 hr 15 min,47 min,450
727,Yosi Banai St. Ramla,typically 35 min - 1 hr 20 min,59 min,458
728,Moshe Dayan St. Ramla,typically 35 min - 1 hr 15 min,47 min,450
729,Sderot Ben Gurion Ramla,typically 35 min - 1 hr 20 min,43 min,450
730,Odem St. Beer Yaakov,typically 35 min - 1 hr 20 min,47 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
731,Dudo Dotan St. Rishon LeTsiyon,typically 30 min - 1 hr 15 min,51 min,193
732,Ha-Rama St. Ramla,typically 35 min - 1 hr 15 min,51 min,450
733,Simha Holtsberg St. Ramla,typically 35 min - 1 hr 15 min,50 min,450
734,HaRav Kuk St. Ramla,typically 35 min - 1 hr 10 min,40 min,450
735,HaEtrog St. Ramla,typically 35 min - 1 hr 15 min,53 min,450
736,Uzi Hitman St. Ramla,typically 35 min - 1 hr 20 min,57 min,458
737,Dudo Dotan St. Rishon LeTsiyon,typically 30 min - 1 hr 15 min,51 min,193
738,Meir Ariel St. Ramla,typically 35 min - 1 hr 20 min,57 min,458
739,Topaz St. Beer Yaakov,typically 35 min - 1 hr 20 min,37 min,159
740,Uzi Hitman St. Ramla,typically 35 min - 1 hr 20 min,57 min,458
741,HaNakar St. Beer Yaakov,typically 35 min - 1 hr 20 min,39 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
742,Ehud Manor St. Ramla,typically 35 min - 1 hr 10 min,56 min,458
743,Sderot Shlomo HaMelech Lod,typically 35 min - 1 hr 5 min,36 min,461    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
744,"Moshe Levi  6,Ramla",typically 35 min - 1 hr 15 min,54 min,450
745,Shoshana Damari St. Ramla,typically 35 min - 1 hr 15 min,54 min,458
746,Topaz St. Beer Yaakov,typically 35 min - 1 hr 20 min,37 min,159
747,Nakhum Guttman St. Ramla,typically 35 min - 1 hr 20 min,1 hr 1 min,458
748,Dudo Dotan St. Rishon LeTsiyon,typically 30 min - 1 hr 15 min,51 min,193
749,HaAlonim Boulevard Beer Yaakov,typically 30 min - 1 hr 15 min,41 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
750,HaShoshanim St. Beer Yaakov,typically 35 min - 1 hr 10 min,49 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
751,HaYasmin St. Rehovot,typically 45 min - 1 hr 25 min,1 hr 3 min,277
752,Bareket St. Be'er Ya'akov,typically 35 min - 1 hr 20 min,42 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
753,Ha-Brosh St. Beer Yaakov,typically 35 min - 1 hr 15 min,44 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
754,Har HaTsofim St. Rehovot,typically 45 min - 1 hr 20 min,1 hr 5 min,17    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
755,HaAlonim Boulevard Beer Yaakov,typically 30 min - 1 hr 15 min,41 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
756,HaZayit St. Beer Yaakov,typically 35 min - 1 hr 10 min,49 min,157    240
757,Harduf St. Ramla,typically 35 min - 1 hr 15 min,31 min,בית שמש-בית שמש<->נתניה-נתניה
758,Ehud Manor St. Ramla,typically 35 min - 1 hr 10 min,56 min,458
759,"onyx  14,Be'er Ya'akov",NA,NA,NA
760,Ha-Dror St. Yavne,typically 35 min - 1 hr 20 min,37 min,177
761,Dukhifat St. Beer Yaakov,typically 35 min - 1 hr 20 min,35 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
762,Moshe Levi Ramla,typically 35 min - 1 hr 15 min,54 min,450
763,HaMashot St. Yavne,typically 35 min - 1 hr 20 min,39 min,177
764,Inbar St. Rehovot,typically 45 min - 1 hr 25 min,59 min,277
765,Avner Ben Ner St. Netanya,typically 45 min - 1 hr 40 min,50 min,16    נתניה-נתניה<->בית שמש-בית שמש
766,HaMigdal HaLavan St. Ramla,typically 35 min - 1 hr 15 min,49 min,450
767,"Lavontin St.  38,Netanya",typically 45 min - 1 hr 25 min,49 min,611
768,"Agam Dalton St.  18,Ashkelon",typically 1 hr 5 min - 2 hr 10 min,1 hr 36 min,15    אשקלון-אשקלון<->הרצליה-הרצליה
769,Ha-Rav Nisanbaum St. Bat Yam,typically 20 - 55 min,35 min,240
770,Ofra Haza Bat Yam,typically 24 min - 1 hr 5 min,47 min,1
771,Weizman St. Bat Yam,typically 22 - 50 min,37 min,1
772,HaPalmach St. Bat Yam,typically 20 - 50 min,31 min,240
773,Yitshak Sadeh St. Bat Yam,typically 24 min - 1 hr,NA,NA
774,"Rothschild St.  2,Holon",typically 18 - 40 min,29 min,71
775,HaShikma St. Bat Yam,typically 22 min - 1 hr,NA,NA
776,"Shalom Aleichem St.  1,Bat Yam",typically 20 - 55 min,44 min,46
777,Shalom Aleichem St. Bat Yam,typically 20 - 55 min,33 min,240
778,Derech Ben Gurion Bat Yam,typically 24 min - 1 hr,1 hr 15 min,705
779,Zrubavel St. Bat Yam,typically 24 min - 1 hr 5 min,45 min,1
780,Ha-Tsipornim St. Bat Yam,typically 20 - 50 min,28 min,240
781,Moshe Sharet St. Holon,typically 20 - 50 min,NA,NA
782,Herutenu St. Tel Aviv-Yafo,typically 9 - 18 min,20 min,7
783,Racine St. Tel Aviv-Yafo,typically 20 - 45 min,31 min,46
784,Anilevich St. Bat Yam,typically 20 - 50 min,25 min,240
785,"HaRav Rubinstein St.  21,Tel Aviv-Yafo",typically 18 - 40 min,23 min,אשקלון-אשקלון<->הרצליה-הרצליה
786,Eli Cohen St. Bat Yam,typically 20 - 50 min,27 min,240
787,Balfour St. Bat Yam,typically 22 - 55 min,1 hr 9 min,705
788,Yitshak Sadeh St. Bat Yam,typically 24 min - 1 hr,NA,NA
789,Moshe Sharet St. Bat Yam,typically 20 - 55 min,30 min,240
790,Rothschild St. Holon,typically 18 - 40 min,29 min,71
791,Re'uven Barkat St. Holon,typically 22 - 50 min,31 min,71
792,"Shabazi St.  9,Ramla",typically 35 min - 1 hr 15 min,41 min,450
793,Yonatan Havafsi St. Tel Aviv-Yafo,typically 12 - 28 min,45 min 3.5 km,707    705
794,Amsterdam St. Tel Aviv-Yafo,typically 10 - 26 min,15 min,36
795,"Ha-Rav Avraham Mordekhai Weingarten St.  17,Jerusalem",typically 1 hr 10 min - 2 hr,1 hr 30 min,75    ירושלים/יצחק נבון-ירושלים<->מודיעין מרכז-מודיעין מכבים רעות    מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה
796,"HaTsalvanim St.  34,Haifa",typically 1 hr 30 min - 2 hr 50 min,1 hr 42 min,58    כרמיאל-כרמיאל<->באר שבע מרכז-באר שבע
797,"Brandeis St.  5,Hadera",typically 1 hr 5 min - 2 hr 10 min,1 hr 4 min,22    כרמיאל-כרמיאל<->באר שבע מרכז-באר שבע
798,Shapira St. Petah Tikva,typically 26 min - 1 hr 10 min,42 min,364
799,Shapira St. Petah Tikva,typically 26 min - 1 hr 10 min,42 min,364
800,Yehuda ha-Levi St. Petah Tikva,typically 35 min - 1 hr 15 min,44 min,364
801,Montefiore St. Petah Tikva,typically 28 min - 1 hr 15 min,36 min,1
802,"Maapilei Egoz St.  35,Tel Aviv",typically 10 - 28 min,21 min,36
803,"Shlomo Ibn Gabirol St.  74,Tel Aviv-Yafo",typically 9 - 24 min,12 min,36
804,"Khevron St.  8,Tel Aviv-Yafo",typically 12 - 35 min,18 min,8
805,"HaHashmonaim St.  129,Tiberias",typically 1 hr 50 min - 4 hr 10 min,2 hr 21 min,1    836
806,Yitshak Ben Zvi St. Ramla,typically 35 min - 1 hr 20 min,43 min,450
807,Shapira St. Ramla,typically 35 min - 1 hr 15 min,47 min,458
808,Amichai St. Ramla,typically 35 min - 1 hr 15 min,44 min,450
809,Tlamim St. Lod,typically 35 min - 1 hr 5 min,27 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
810,Meir Binet St. Ramla,typically 35 min - 1 hr 15 min,47 min,450
811,"Ovadya mi-Bartenura St.  10,Tel Aviv-Yafo",typically 12 - 35 min,17 min,56
812,"Zlatopolski St.  17,Tel Aviv-Yafo",typically 14 - 40 min,18 min,8
813,"Derech Ben Gurion  75,Bat Yam",typically 24 min - 1 hr,35 min,6    אשקלון-אשקלון<->הרצליה-הרצליה
814,"HaMigdal HaLavan St.  4,Ramla",typically 35 min - 1 hr 15 min,49 min,450
815,"Moshe Dayan St.  6,Ramla",typically 35 min - 1 hr 15 min,50 min,450
816,HaMigdal HaLavan St. Ramla,typically 35 min - 1 hr 15 min,49 min,450
817,"Eliezer Kaplan St.  11,Ramla",typically 35 min - 1 hr 10 min,41 min,450
818,"Gershon Shatz St.  11,Ramla",typically 35 min - 1 hr 15 min,49 min,450
819,"Masada St.  36,Ramla",typically 35 min - 1 hr 15 min,54 min,458
820,"Yitshak Ben Zvi St.  4,Ramla",typically 35 min - 1 hr 15 min,42 min,450
821,"Masada St.  3,Ramla",typically 35 min - 1 hr 15 min,58 min,458
822,H.N. Bialik St. Ramla,typically 35 min - 1 hr 15 min,53 min,458
823,Kinneret St. Ramla,typically 35 min - 1 hr 20 min,47 min,450
824,Abba Hillel Silver St. Netanya,typically 45 min - 1 hr 25 min,46 min,650
825,Yirmiyahu St. Netanya,typically 40 min - 1 hr 15 min,42 min,611
826,Uzi Hitman St. Netanya,typically 35 min - 1 hr 10 min,49 min,600
827,Shmuel HaNatziv St. Netanya,typically 50 min - 1 hr 40 min,42 min,650
828,Shmuel HaNatziv St. Netanya,typically 50 min - 1 hr 40 min,42 min,650
829,Shmuel HaNatziv St. Netanya,typically 50 min - 1 hr 40 min,42 min,650
830,Shmuel HaNatziv St. Netanya,typically 50 min - 1 hr 40 min,42 min,650
831,Uzi Hitman St. Netanya,typically 35 min - 1 hr 10 min,49 min,600
832,Atsag St. Netanya,typically 45 min - 1 hr 30 min,51 min,16    נתניה-נתניה<->בית שמש-בית שמש
833,David HaMelech St. Netanya,typically 50 min - 1 hr 40 min,48 min,650
834,Smilanski St. Netanya,typically 40 min - 1 hr 25 min,49 min,32א    בנימינה-בנימינה גבעת עדה<->לוד-לוד
835,Yehuda Halevi St. Netanya,typically 40 min - 1 hr 20 min,51 min,611
836,Uzi Hitman St. Netanya,typically 35 min - 1 hr 10 min,49 min,600
837,HaKalir St. Netanya,typically 35 min - 1 hr 15 min,50 min,611
838,Yehuda Halevi St. Netanya,typically 40 min - 1 hr 20 min,51 min,611
839,Eliyahu Golomb St. Netanya,typically 45 min - 1 hr 30 min,48 min,650
840,Trumpeldor St. Netanya,typically 45 min - 1 hr 30 min,48 min,650
841,Arik Lavi St. Netanya,typically 35 min - 1 hr 10 min,48 min,600
842,Mishmar HaYarden St. Netanya,typically 40 min - 1 hr 20 min,47 min,בנימינה-בנימינה גבעת עדה<->לוד-לוד
843,Uzi Hitman St. Netanya,typically 35 min - 1 hr 10 min,49 min,600
844,"Derech Don Yitshak Abarbanel  19,Netanya",typically 40 min - 1 hr 25 min,46 min,827
845,Uzi Hitman St. Netanya,typically 35 min - 1 hr 10 min,49 min,600
846,Sderot Binyamin Netanya,typically 40 min - 1 hr 20 min,51 min,611
847,Arik Lavi St. Netanya,typically 35 min - 1 hr 10 min,48 min,600
848,Nordau Max St. Netanya,typically 35 min - 1 hr 5 min,43 min,611
849,Levi Eshkol St. Netanya,typically 35 min - 1 hr 15 min,47 min,611
850,Agam Kinneret St. Netanya,typically 35 min - 1 hr 10 min,39 min,611
851,Ha-Marganiyot St. Netanya,typically 35 min - 1 hr 10 min,42 min,600
852,Khartsit St. Netanya,typically 35 min - 1 hr 10 min,41 min,611
853,Menachem Begin St. Netanya,typically 35 min - 1 hr 10 min,41 min,600
854,Uzi Hitman St. Netanya,typically 35 min - 1 hr 10 min,49 min,600
855,Zalman Shazar St. Netanya,typically 35 min - 1 hr 5 min,45 min,605
856,Uzi Hitman St. Netanya,typically 35 min - 1 hr 10 min,49 min,600
857,Yitskhak Katsenelson St. Netanya,typically 35 min - 1 hr 10 min,39 min,611
858,Shmurat Nahal Bsur St. Netanya,typically 35 min - 1 hr 10 min,38 min,611
859,"Sderot Hayim Weizman  98,Netanya",typically 45 min - 1 hr 40 min,45 min,650
860,Khativat Alexandroni St. Netanya,typically 40 min - 1 hr 15 min,44 min,611
861,Rishon LeTsiyon St. Netanya,typically 40 min - 1 hr 20 min,55 min,32א    בנימינה-בנימינה גבעת עדה<->לוד-לוד
862,"Derekh Brekhot ha-Yaar  110,Beit Zait",typically 55 min - 1 hr 25 min,1 hr 24 min,180        ירושלים/יצחק נבון-ירושלים<->מודיעין מרכז-מודיעין מכבים רעות    מודיעין מרכז-מודיעין מכבים רעות<->נהריה-נהריה
863,"Hamakabim St.  5,Givat Zeev",typically 50 min - 1 hr 25 min,1 hr 16 min,422    54
864,Ben Gurion St. Petah Tikva,typically 22 min - 1 hr 5 min,36 min,364
865,HaRav Pinzi St. Petah Tikva,typically 30 min - 1 hr 5 min,43 min,166
866,"Katz Michal Leib St.  72,Petah Tikva",typically 26 min - 1 hr 10 min,39 min,364
867,Ha-Tishim Ve-Shalosh St. Petah Tikva,typically 24 - 50 min,39 min,606
868,Degel Reuven St. Petah Tikva,typically 24 min - 1 hr 5 min,37 min,16    1
869,Arieh Ben Eliezer St. Petah Tikva,typically 26 min - 1 hr 5 min,45 min,166
870,Rivka Novik St. Petah Tikva,typically 26 min - 1 hr 5 min,44 min,473
871,Yosef Nakar St. Petah Tikva,typically 24 min - 1 hr 5 min,36 min,364
872,Ben Gurion St. Petah Tikva,typically 22 min - 1 hr 5 min,36 min,364
873,Idelmann St. Petah Tikva,typically 24 min - 1 hr,37 min,364
874,Trumpeldor St. Petah Tikva,typically 24 min - 1 hr 10 min,40 min,1
875,Ezra Unehemiah St. Petah Tikva,typically 30 min - 1 hr 5 min,48 min,64
876,Ha-Rav Unterman St. Petah Tikva,typically 35 min - 1 hr 10 min,41 min,950        הרצליה-הרצליה<->אשדוד עד הלום-אשדוד
877,Khana Szenes St. Petah Tikva,typically 26 min - 1 hr 10 min,46 min,364
878,David Raziel St. Petah Tikva,typically 26 min - 1 hr 5 min,45 min,166
879,David Simchi St. Petah Tikva,typically 24 min - 1 hr 5 min,37 min,364
880,Snir St. Nehalim,typically 30 min - 1 hr 5 min,57 min,249    1
881,Aminach St. Petah Tikva,typically 35 min - 1 hr 10 min,42 min,486        הרצליה-הרצליה<->אשדוד עד הלום-אשדוד
882,Dov Hoz St. Petah Tikva,typically 26 min - 1 hr 10 min,39 min,10א    1
883,Shapira St. Petah Tikva,typically 26 min - 1 hr 10 min,42 min,364
884,Halper St. Bat Yam,typically 22 - 50 min,37 min,46
885,Balfour St. Bat Yam,typically 22 - 55 min,1 hr 9 min,705
886,Yisrael Ben Tsiyon St. Bat Yam,typically 22 min - 1 hr,43 min,46
887,Jabotinsky St. Bat Yam,typically 22 min - 1 hr,42 min,1
888,Hermon St. Yavne,typically 35 min - 1 hr 20 min,41 min,3    177
889,Ahad HaAm St. Ramat Gan,typically 12 - 35 min,25 min,36
890,Shalom Aleichem St. Bat Yam,typically 20 - 55 min,33 min,240
891,Mendele Mocher Sforim St. Bat Yam,typically 22 - 55 min,45 min,46
892,Ahad HaAm St. Ramat Gan,typically 12 - 35 min,25 min,36
893,Mifrats Shlomo St. Holon,typically 22 - 55 min,37 min,89
894,Bar Yehuda St. Bat Yam,typically 24 min - 1 hr,42 min,1
895,"Alterman St.  7,Bat Yam",typically 24 min - 1 hr 5 min,42 min,1
896,Bar Yehuda St. Bat Yam,typically 24 min - 1 hr,42 min,1
897,Ha-Hagana St. Bat Yam,typically 18 - 50 min,25 min,240
898,Albert Einstein St. Lod,typically 35 min - 1 hr 5 min,35 min,רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
899,HaShikma St. Bat Yam,typically 22 min - 1 hr,NA,NA
900,Maharozet St. Tel Aviv-Yafo,typically 18 - 40 min,22 min,אשקלון-אשקלון<->הרצליה-הרצליה
901,Aplaton St. Tel Aviv-Yafo,typically 20 - 45 min,36 min,46
902,Ha-Maapilim St. Holon,typically 20 - 40 min,33 min,71
903,Tzvi Tadmor Holon,typically 20 - 50 min,32 min,71
904,Galinit St. Tel Aviv-Yafo,typically 20 - 45 min,25 min,15    אשקלון-אשקלון<->הרצליה-הרצליה
905,Aplaton St. Tel Aviv-Yafo,typically 20 - 45 min,36 min,46
906,Shivtei Israel St. Tel Aviv-Yafo,typically 18 - 45 min,34 min,46
907,Ha-Dekel St. Holon,typically 22 - 55 min,33 min,171
908,Shaul Hadadi St. Bat Yam,typically 20 - 50 min,29 min,240
909,Arba Onot St. Lod,typically 30 min - 1 hr,32 min,1    רחובות-רחובות<->בנימינה-בנימינה גבעת עדה
910,Peterson St. Tel Aviv-Yafo,typically 9 - 20 min,12 min,46
911,Beit Lekhem St. Holon,typically 22 - 55 min,35 min,89
912,Halper St. Bat Yam,typically 22 - 50 min,37 min,46
913,Yehoshua Hankin St. Holon,typically 18 - 40 min,NA,NA
914,Knei Suf St. Lod,typically 35 min - 1 hr 10 min,NA,NA
915,Yehoshua Hankin St. Holon,typically 18 - 40 min,NA,NA
916,Hasar Pinkas St. Bat Yam,typically 22 - 55 min,44 min,46
917,HaShikma St. Bat Yam,typically 22 min - 1 hr,NA,NA
918,Yehoshua Hankin St. Holon,typically 18 - 40 min,NA,NA
919,Aharon Buganim St. Ramla,typically 35 min - 1 hr 15 min,NA,NA
920,HaRav Rubinstein St. Tel Aviv-Yafo,typically 18 - 40 min,20 min,אשקלון-אשקלון<->הרצליה-הרצליה
921,Ha-Pardes St. Holon,typically 18 - 35 min,36 min,7
922,Ein ha-Kore St. Rishon LeTsiyon,typically 28 - 55 min,45 min,190
923,Trumpeldor St. Bnei Brak,typically 14 - 45 min,NA,NA
924,Daniel St. Tel Aviv-Yafo,typically 14 - 35 min,23 min,23
925,HaReshet St. Yavne,typically 35 min - 1 hr 20 min,NA,NA
926,Shlomo Ben Yosef St. Bat Yam,typically 20 - 50 min,59 min,705
927,Yerushalayim St. Bat Yam,typically 22 - 55 min,37 min,1
928,Nahal Tzalim Sderot,typically 1 hr 40 min - 2 hr 50 min,NA,NA
929,Eilat St. Holon,typically 18 - 50 min,23 min,אשקלון-אשקלון<->הרצליה-הרצליה
930,Haviva Reik St. Holon,typically 24 - 50 min,41 min,89
